,0
0,"catena-(bis((mu!4$-Formato)-(mu!3$-formato)-(mu!2$-formato-O,O)-bis(mu!2$-aqua)-barium)-copper)"
1,"catena-[tris(bis(mu-[1,1'-biphenyl]-4,4'-dicarboxylato)-(mu-2,7-bis(pyridin-4-yl)-9H-fluoren-9-one)-di-zinc(ii)) unknown solvate]"
2,catena-[(mu-oxalato)-(mu-norbornadiene)-di-copper(i)]
3,catena-(tetrakis(mu!3$-isonicotinato)-di-cobalt) ethanol clathrate
4,catena-(tetrakis(mu!3$-pyridine-4-carboxylato)-di-cobalt)
5,"catena-((mu-4,4'-diazenediyldipyridine)-tetrakis(mu-pyrazole-3,5-dicarboxylato)-diaqua-tetra-cadmium)"
6,"catena-(bis(mu-4,4',4''-[benzene-1,3,5-triyltris(oxy)]tribenzoato)-(mu-4,4'-bipyridine)-tri-copper)"
7,"catena-((mu!7$-pyrazine-2,6-dicarboxylato)-di-silver(i))"
8,"catena-[tris(Dimethylammonium)bis(mu-benzene-1,3,5-tricarboxylato)-trichloro-tri-manganese(ii) dihydrate]"
9,"catena-((mu!5$-pyrazine-1,2-dicarboxylato)-di-silver(i))"
10,"catena-(bis(mu-4,4'-diazenediyldipyridine)-bis(mu-3,5-dicarboxylatopyrazolato)-tri-cadmium monohydrate)"
11,"catena-((mu!2$-1,2-bis(4-pyridyl)ethane)-(mu!2$-5-hydroxyisophthalato)-zinc(ii))"
12,"catena-bis((mu!2$-5-hydroxyisophthalato)-(mu!2$-1,2-bis(4-pyridyl)ethene)-zinc(ii))"
13,"catena-[(mu!2$-1,2-bis(pyridin-4-yl)ethene)-(mu!2$-5-hydroxyisophthalato)-zinc(ii) 1,2-bis(pyridin-4-yl)ethene solvate]"
14,"catena-((mu!2$-5-hydroxyisophthalato)-(mu!2$-1,3-bis(4-pyridyl)propane)-zinc(ii) monohydrate)"
15,"catena-((mu-N,N'-bis(pyridin-3-yl)thiophene-2,5-dicarboxamide)-(mu-isophthalato)-cobalt dihydrate)"
