code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
ABAFUH,catena-[(mu-oxalato)-(mu-norbornadiene)-di-copper(i)],oxalate,norbornadiene,,,,,,,copper,[]
ABAVIJ,catena-(tetrakis(mu!3$-isonicotinato)-di-cobalt) ethanol clathrate,isonicoate,,,,,,,,cobalt,"['ethanol', 'clathrate']"
ABAYIO,"catena-[tris(Dimethylammonium) bis(mu-benzene-1,3,5-tricarboxylato)-trichloro-tri-manganese(ii) dihydrate]","benzene-1,3,5-tricarboxylate",,,,,,,,tin,['dihydrate]']
ABAYUY,"catena-((mu!2$-1,2-bis(4-pyridyl)ethane)-(mu!2$-5-hydroxyisophthalato)-zinc(ii))","1,2-bis(4-pyridyl)ethane",5-hydroxyisophthalate,,,,,,,manganese,[]
ABAZAF01,"catena-[(mu!2$-1,2-bis(pyridin-4-yl)ethene)-(mu!2$-5-hydroxyisophthalato)-zinc(ii) 1,2-bis(pyridin-4-yl)ethene solvate]","1,2-bis(pyridin-4-yl)ethene",5-hydroxyisophthalate,,,,,,,zinc,"['1,2-bis(pyridin-4-yl)ethene', 'solvate]']"
ABEFUL,"catena-(oxonium (5,10,15,20-tetrakis(4-sulfonatophenyl)porphyin)-terbium dihydrate)",,,,,,,,,zinc,['dihydrate)']
ABEXEN,"catena-(dimethylammonium (mu-biphenyl-4,4'-dicarboxylato)-(mu-thiophene-2,5-dicarboxylato)-indium dimethylformamide solvate hydrate)","biphenyl-4,4'-dicarboxylate","thiophene-2,5-dicarboxylate",,,,,,,terbium,"['dimethylformamide', 'solvate', 'hydrate)']"
ABIWOX,"catena-[(mu!4$-Pyridine-3,5-dicarboxylato)-aqua-cobalt(ii)]","Pyridine-3,5-dicarboxylate",,,,,,,,indium,[]
ABUFOU,"catena-((mu!2$-3,3'-(1,4-Phenylene)bis(acrylato))-diaqua-manganese)","3,3'-(1,4-Phenylene)bis(acrylate)",,,,,,,,cobalt,[]
ABUGUC,"catena-[bis(mu-3-(3,5-dicarboxylatophenoxy)phthalato)-(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-tetraaqua-tetra-manganese]","3-(3,5-dicarboxylatephenoxy)phthalate","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,,,,manganese,[]
