Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
Formate,formate,"formate-O,O",aqua),,
"[1,1'-biphenyl]-4,4'-dicarboxylate","2,7-bis(pyridin-4-yl)-9H-fluoren-9-on",,,,
oxalate,norbornadiene,,,,
isonicoate,,,,,
pyridine-4-carboxylate,,,,,
"4,4'-diazenediyldipyridine","pyrazole-3,5-dicarboxylate",,,,
"4,4',4''-[benzene-1,3,5-triyltris(oxy)]tribenzoate","4,4'-bipyridine",,,,
"pyrazine-2,6-dicarboxylate",,,,,
"benzene-1,3,5-tricarboxylate",,,,,
"pyrazine-1,2-dicarboxylate",,,,,
"4,4'-diazenediyldipyridine","3,5-dicarboxylatepyrazolate",,,,
"1,2-bis(4-pyridyl)ethane",5-hydroxyisophthalate,,,,
5-hydroxyisophthalate,"1,2-bis(4-pyridyl)ethene",,,,
"1,2-bis(pyridin-4-yl)ethene",5-hydroxyisophthalate,,,,
5-hydroxyisophthalate,"1,3-bis(4-pyridyl)propane",,,,
"N,N'-bis(pyridin-3-yl)thiophene-2,5-dicarboxamide",isophthalate,,,,
"4,4',4''-phosphanetriyltribenzoate","4,4'-bipyridine",fluoro,,,
"4,4',4''-phosphanetriyltribenzoate","4,4'-bipyridine",fluoro)-aqua-tri-(i,,,
,,,,,
pentaiodide,"3,3',3'',3'''-[methanetetrayltetra(4,1-phenylene)]tetrapyridine",,,,
iodo,"3,3',3'',3'''-[methanetetrayltetra(4,1-phenylene)]tetrapyridine",,,,
iodo,"3,3',3'',3'''-[methanetetrayltetra(4,1-phenylene)]tetrapyridine",,,,
iodo,"3,3',3'',3'''-[methanetetrayltetra(4,1-phenylene)]tetrapyridine",,,,
iodo,"3,3',3'',3'''-[methanetetrayltetra(4,1-phenylene)]tetrapyridine",,,,
iodo,"3,3',3'',3'''-[methanetetrayltetra(4,1-phenylene)]tetrapyridine",,,,
,,,,,
"pyrimidine-4,6-dicarboxylate","pyrimidine-4,6-dicarboxylate",oxalate,,,
